state,year,same_sex,coef,_se
Nebraska,2017,TRUE,0.00720250984230101,0.00418698795001894
Nebraska,2018,TRUE,0.00523388966539334,0.00522151883353916
Nebraska,2019,TRUE,0.00322873128555507,0.00230391633920331
Nebraska,2021,TRUE,0.00207281694276832,0.00207414215462279
Nebraska,2022,TRUE,0.01651383686718921,0.00688477709507592
Nevada,2008,TRUE,0.00534713295609715,0.00272329691346866
Nevada,2009,TRUE,0.00291283456998594,0.00104952230109001
Nevada,2010,TRUE,0.00230231602028233,0.00104493474932567
Nevada,2011,TRUE,0.00822732441354537,0.00291359655099172
Nevada,2012,TRUE,0.01278143610287554,0.00354669865280155
Nevada,2013,TRUE,0.00572974801285293,0.00190274704546689
Nevada,2014,TRUE,0.00752899685767753,0.00266277256937347
Nevada,2015,TRUE,0.00451423746619001,0.00191348932663172
Nevada,2016,TRUE,0.00945205569272443,0.00230399271216589
Nevada,2017,TRUE,0.00887440678280099,0.00252715508710206
Nevada,2018,TRUE,0.00698269901456341,0.00226150743356035
Nevada,2019,TRUE,0.0143342515490957,0.00316955489941755
Nevada,2021,TRUE,0.00977401705612026,0.00242023664517436
Nevada,2022,TRUE,0.0160174528898443,0.00354160755377773
New Hampshire,2008,TRUE,0.00422629910673916,0.00422458388427701
New Hampshire,2009,FALSE,0,0
New Hampshire,2010,FALSE,0,0
New Hampshire,2011,FALSE,0,0
New Hampshire,2012,TRUE,9.816506869477846e-4,9.843154919023144e-4
New Hampshire,2013,TRUE,0.01124252372175583,0.00833879841124109
New Hampshire,2014,TRUE,0.00631822962685512,0.00453544894191217
New Hampshire,2015,TRUE,0.00872386129868052,0.00508122162687935
New Hampshire,2016,TRUE,0.02347083926286114,0.00974143822684596
New Hampshire,2017,TRUE,7.324840764331392e-4,5.209267888501081e-4
New Hampshire,2018,TRUE,0.00321765111598134,0.00228452855192663
New Hampshire,2019,TRUE,0.03827708010186824,0.01739926593090864
New Hampshire,2021,TRUE,0.00958234830594381,0.00675489134746939
New Hampshire,2022,TRUE,0.03569817642889358,0.01306500156048572
New Jersey,2008,TRUE,0.00537513309853456,0.00111417034326792
New Jersey,2009,TRUE,0.00391300176901389,0.00104801487929563
New Jersey,2010,TRUE,0.00299461951227734,8.325307194674374e-4
New Jersey,2011,TRUE,0.00472578602277041,9.957806161160242e-4
New Jersey,2012,TRUE,0.00217800009392118,7.177056990321403e-4
New Jersey,2013,TRUE,0.00432087051035661,9.048870729031744e-4
New Jersey,2014,TRUE,0.00630074838369689,0.00115914230592026
New Jersey,2015,TRUE,0.00942387985457362,0.00150173691526146
New Jersey,2016,TRUE,0.00833149699102996,0.00141239283807545
New Jersey,2017,TRUE,0.00652051801820493,0.00106709955676967
New Jersey,2018,TRUE,0.00738608744193231,0.00134942593537205
New Jersey,2019,TRUE,0.00579913210466751,9.370323525892028e-4
New Jersey,2021,TRUE,0.01079578784628623,0.00173325687573457
New Jersey,2022,TRUE,0.00684670193873637,0.00114925846091933
New Mexico,2008,TRUE,0.01106751771394894,0.00641210431837258
New Mexico,2009,TRUE,0.00647777385334263,0.00327860329879635
New Mexico,2010,TRUE,0.00424477632628537,0.00423333975107365
New Mexico,2011,TRUE,0.00561405839949508,0.0040926127767313
New Mexico,2012,TRUE,0.00857044286792373,0.00603299823525826
New Mexico,2013,TRUE,0.00322637830241583,0.00241017441300814
New Mexico,2014,TRUE,0.00965327029171,0.00606511313429647
New Mexico,2015,TRUE,0.00600573373999086,0.00321144898359795
New Mexico,2016,TRUE,0.00244325497106507,0.00244157259025787
New Mexico,2017,TRUE,0.0112028074505521,0.00708844451078501
New Mexico,2018,TRUE,0.0095901062689568509,0.00466553633727702
New Mexico,2019,TRUE,0.01481697292572783,0.00701820678440837
New Mexico,2021,TRUE,0.01179893649042662,0.0056742752735083404
New Mexico,2022,TRUE,0.04597772280226034,0.0191335977278797
New York,2008,TRUE,0.00758412592942284,0.00104009341078902
New York,2009,TRUE,0.00529490663080709,7.238778961438615e-4
New York,2010,TRUE,0.00638767488010458,7.849062817655382e-4
New York,2011,TRUE,0.0074814363058842296,9.974119711549166e-4
New York,2012,TRUE,0.00688133113496616,9.351355426677382e-4
New York,2013,TRUE,0.00771677085006957,9.008339208983728e-4
New York,2014,TRUE,0.0112890788930963,0.00126085819732585
New York,2015,TRUE,0.00995379551257016,0.00108393167568435
New York,2016,TRUE,0.01110281926521279,0.00123587669710241
New York,2017,TRUE,0.01252419827168463,0.00116619011892378
New York,2018,TRUE,0.01276051390328698,0.00145797474978459
New York,2019,TRUE,0.01221635541675536,0.00120957209944922
New York,2021,TRUE,0.01590401638435678,0.00145934654034855
New York,2022,TRUE,0.01836003768838164,0.00170082069093989
North Carolina,2008,TRUE,0.00511813783916495,0.00194004919078098
North Carolina,2009,TRUE,0.00340329735923772,0.00129150844886594
North Carolina,2010,TRUE,0.00542436995431277,0.00161174059214891
