state,year,same_sex,imm_couple,n,n_unweighted,n_ar,n_unweighted_ar,post_2013,group_fe
California,2009,TRUE,none,105018,1246,105018,1246,FALSE,California_TRUE_none
California,2009,TRUE,one,14588,174,14588,174,FALSE,California_TRUE_one
California,2009,TRUE,two,5601,59,5601,59,FALSE,California_TRUE_two
California,2010,FALSE,none,5952925,62909,5952925,62909,FALSE,California_FALSE_none
California,2010,FALSE,one,787863,8303,787863,8303,FALSE,California_FALSE_one
California,2010,FALSE,two,2398863,24250,2398863,24250,FALSE,California_FALSE_two
California,2010,TRUE,none,112143,1342,112143,1342,FALSE,California_TRUE_none
California,2010,TRUE,one,14057,159,14057,159,FALSE,California_TRUE_one
California,2010,TRUE,two,5643,72,5643,72,FALSE,California_TRUE_two
California,2011,FALSE,none,5892924,60534,5892924,60534,FALSE,California_FALSE_none
California,2011,FALSE,one,739059,7751,739059,7751,FALSE,California_FALSE_one
California,2011,FALSE,two,2392367,24684,2392367,24684,FALSE,California_FALSE_two
California,2011,TRUE,none,111036,1354,111036,1354,FALSE,California_TRUE_none
California,2011,TRUE,one,11836,130,11836,130,FALSE,California_TRUE_one
California,2011,TRUE,two,7647,76,7647,76,FALSE,California_TRUE_two
California,2012,FALSE,none,5786175,59749,5786175,59749,FALSE,California_FALSE_none
California,2012,FALSE,one,812914,8174,812914,8174,FALSE,California_FALSE_one
California,2012,FALSE,two,2388792,24532,2388792,24532,FALSE,California_FALSE_two
California,2012,TRUE,none,114624,1337,114624,1337,FALSE,California_TRUE_none
California,2012,TRUE,one,13008,154,13008,154,FALSE,California_TRUE_one
California,2012,TRUE,two,6705,77,6705,77,FALSE,California_TRUE_two
California,2013,FALSE,none,5804427,61086,5804427,61086,FALSE,California_FALSE_none
California,2013,FALSE,one,819987,8526,819987,8526,FALSE,California_FALSE_one
California,2013,FALSE,two,2335730,23630,2335730,23630,FALSE,California_FALSE_two
California,2013,TRUE,none,134622,1587,134622,1587,FALSE,California_TRUE_none
California,2013,TRUE,one,17912,206,17912,206,FALSE,California_TRUE_one
California,2013,TRUE,two,8379,97,8379,97,FALSE,California_TRUE_two
